"N°DPE","Date_réception_DPE","Date_établissement_DPE","Date_visite_diagnostiqueur","Modèle_DPE","N°_DPE_remplacé","Date_fin_validité_DPE","Version_DPE","N°_DPE_immeuble_associé","Méthode_du_DPE","N°_immatriculation_copropriété","Invariant_fiscal_logement","Etiquette_DPE","Etiquette_GES","Conso_kWhep/m²/an","Emission_GES_kgCO2/m²/an","Année_construction","Catégorie_ERP","Période_construction","Secteur_activité","Nombre_occupant","Surface_(SHON)","Surface_utile","Type_énergie_principale_chauffage","Adresse_brute","Nom__commune_(BAN)","Code_INSEE_(BAN)","N°_voie_(BAN)","Identifiant__BAN","Adresse_(BAN)","Code_postal_(BAN)","Score_BAN","Nom__rue_(BAN)","Coordonnée_cartographique_X_(BAN)","Coordonnée_cartographique_Y_(BAN)","Code_postal_(brut)","N°_étage_appartement","Nom_résidence","Complément_d'adresse_bâtiment","Cage_d'escalier","Complément_d'adresse_logement","Statut_géocodage","Nom__commune_(Brut)","N°_département_(BAN)","N°_région_(BAN)","Conso_é_finale_énergie_n°1","Conso_é_primaire_énergie_n°1","Type_énergie_n°1","Type_usage_énergie_n°1","Frais_annuel_énergie_n°1","Année_relève_conso_énergie_n°1","Conso_é_finale_énergie_n°2","Conso_é_primaire_énergie_n°2","Type_énergie_n°2","Type_usage_énergie_n°2","Frais_annuel_énergie_n°2","Année_relève_conso_énergie_n°2","Conso_é_finale_énergie_n°3","Conso_é_primaire_énergie_n°3","Type_énergie_n°3","Type_usage_énergie_n°3","Frais_annuel_énergie_n°3","Année_relève_conso_énergie_n°3"
"2489T0158668T","2024-01-16","2024-01-15","2024-01-12","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1989-2000","M : Magasins de vente, centres commerciaux",0,2200,100,,"6 AVENUE DE SAINT-GEORGES","Auxerre","89024","6","89024_6370_00006","6 Avenue de Saint Georges 89000 Auxerre","89000",0.71,"Avenue de Saint Georges",741740.23,6744237.99,89000,0,,"202310-25340",,,"adresse géocodée ban à l'adresse","AUXERRE","89","27",,,,,,,,,,,,,,,,,,
"2420T0205276S","2024-01-18","2024-01-17","2023-11-28","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire facture",,,"D","B",185.3,5.2,,"5ème Catégorie","1948-1974","M : Magasins de vente, centres commerciaux",8,388.3,100,,"Résidence Nina Lupino","Bastia","2B033",,"2B033_A055","Residence Laetitia Lupino 20600 Bastia","20600",0.52,"Residence Laetitia Lupino",1227722.67,6197198.86,20600,0,,"231124 VITO Lupinu",,"Bat. C; Etage RDC","adresse géocodée ban à l'adresse","BASTIA","2B","94",34410.9,79145,"Électricité","périmètre de l'usage inconnu",0.2,2023,,,,,,,,,,,,
"2475T0198044R","2024-01-18","2024-01-17","2023-12-25","DPE 2006 tertiaire et ERP","2375T4502230G","2034-01-16",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"D","B",255.9,7.1,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",1,42,100,,"84 RUE DU COMMERCE
ENSEIGNE ""LIU""","Paris","75115","84","75115_2245_00084","84 Rue du Commerce 75015 Paris","75015",0.79,"Rue du Commerce",648149.31,6860712.35,75015,0,,"23-12-056",,"Etage : Rdc","adresse géocodée ban à l'adresse","PARIS","75","11",5141,11824.3,"Électricité","périmètre de l'usage inconnu",1954,2024,,,,,,,,,,,,
"2487T0212435Q","2024-01-19","2024-01-18","2024-01-15","DPE 2006 tertiaire et ERP",,"2034-01-17",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1948-1974","M : Magasins de vente, centres commerciaux",300,164,100,,"115 rue Armand Dutreix","Limoges","87085","115","87085_0280_00115","115 rue Armand Dutreix 87000 Limoges","87000",0.8,"rue Armand Dutreix",563393.09,6527251.14,87000,0,,"43252bis",,,"adresse géocodée ban à l'adresse","LIMOGES","87","75",,,,,,,,,,,,,,,,,,
"2459T0179450X","2024-01-17","2024-01-16","2024-01-08","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,76.9,100,,"9 Mail Saint Martin","Cambrai","59122","9","59122_2900_00009","9 Mail Saint-martin 59400 Cambrai","59400",0.63,"Mail Saint-martin",716668.39,7008591.78,59400,0,,"2024/4919",,,"adresse géocodée ban à l'adresse","CAMBRAI","59","32",,,,,,,,,,,,,,,,,,
"2427T0235976T","2024-01-22","2024-01-21","2024-01-18","DPE 2006 tertiaire et ERP","2427T0229821A","2034-01-20",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,250,100,,"33, Rue de Vienne","Gisors","27284","33","27284_1070_00033","33 Rue de Vienne 27140 Gisors","27140",0.64,"Rue de Vienne",610916.25,6909601.4,27140,0,,"24-019-05",,,"adresse géocodée ban à l'adresse","GISORS","27","28",,,,,,,,,,,,,,,,,,
"2475T0229591A","2024-01-22","2024-01-21","2024-01-07","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,752,100,,"2-4, boulevard Poissonnière","Paris","75109","4","75109_7560_00004","4 Boulevard Poissonnière 75009 Paris","75009",0.64,"Boulevard Poissonnière",652139.55,6863631.57,75009,0,,"54513-1",,,"adresse géocodée ban à l'adresse","PARIS 09","75","11",,,,,,,,,,,,,,,,,,
"2469T0181074T","2024-01-17","2024-01-16","2024-01-08","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"C","A",98.5,2.7,,"5ème Catégorie","1948-1974","M : Magasins de vente, centres commerciaux",0,62.3,100,,"103 rue Duguesclin","Lyon","69386","103","69386_2365_00103","103 Rue Duguesclin 69006 Lyon","69006",0.71,"Rue Duguesclin",843576.13,6520402.9,69006,0,,"09/01/2024 Lyon 6",,"Rdc","adresse géocodée ban à l'adresse","LYON 06","69","84",2938,6757.4,"Électricité","périmètre de l'usage inconnu",852,2023,,,,,,,,,,,,
"2466T0197951T","2024-01-18","2024-01-17","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire vierge",,,,,,,1940,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",500,,35.7,,"22 rue de la Place","Arles-sur-Tech","66009","22","66009_kqv0n1_00022","22 Rue de la Place 66150 Arles-sur-Tech","66150",0.86,"Rue de la Place",669910.59,6150902.01,66150,0,"Immeuble",,,,"adresse géocodée ban à l'adresse","ARLES-SUR-TECH","66","76",,,,,,,,,,,,,,,,,,
"2444T0211335R","2024-01-19","2024-01-18","2024-01-15","DPE 2006 tertiaire et ERP",,"2034-01-17",2.3,,"dpe tertiaire facture",,,"B","A",32.3,0.9,1976,"5ème Catégorie","1975-1977","M : Magasins de vente, centres commerciaux",10,36.5,100,,"9 Bis rue de la Mairie","Saint-Hilaire-de-Chaléons","44164","9bis","44164_0130_00009_bis","9bis Rue de la Mairie 44680 Saint-Hilaire-de-Chaléons","44680",0.52,"Rue de la Mairie",331400.37,6678324.57,44680,0,,"24-01-11-6538_p02",,,"adresse géocodée ban à l'adresse","ST HILAIRE DE CHALEONS","44","52",564,1297.2,"Électricité","périmètre de l'usage inconnu",124,2023,,,,,,,,,,,,
"2476T0216847X","2024-01-19","2024-01-18","2023-05-08","DPE 2006 tertiaire et ERP",,"2034-01-17",2.3,,"dpe tertiaire facture",,,"D","B",260.8,7.3,,"5ème Catégorie","1989-2000","M : Magasins de vente, centres commerciaux",0,1248,100,,"AVENUE DE SAINT YON","Saint-Étienne-du-Rouvray","76575",,"76575_2290","Avenue de Saint Yon 76800 Saint-Étienne-du-Rouvray","76800",0.49,"Avenue de Saint Yon",562238.71,6923661.5,76800,0,,"MA2206001707",,"Bat. N/A","adresse géocodée ban à l'adresse","ST ETIENNE DU ROUVRAY","76","28",155636,357962.8,"Électricité","périmètre de l'usage inconnu",45145,2019,,,,,,,,,,,,
"2484T0160462O","2024-01-16","2024-01-15","2024-01-15","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire vierge",,,,,,,2012,"5ème Catégorie","2006-2012","M : Magasins de vente, centres commerciaux",0,732,100,,"Avenue Pierre Bérégovoy","Avignon","84007",,"84007_4917","Avenue Pierre Bérègovoy Mft 84140 Avignon","84140",0.65,"Avenue Pierre Bérègovoy Mft",849885.7,6315598.47,84140,0,,"MA2312213267",,"Bat. N/A; Etage N/A; Porte N/A","adresse géocodée ban à l'adresse","Avignon","84","93",,,,,,,,,,,,,,,,,,
"2359T4538435D","2024-01-18","2023-11-21","2023-11-22","DPE 2006 tertiaire et ERP",,"2033-11-20",2.3,,"dpe tertiaire facture",,,"C","B",148,6.6,2007,"5ème Catégorie","2006-2012","M : Magasins de vente, centres commerciaux",500,1564.6,1564.6,"Gaz naturel","1 faubourg de Cambrai","Le Cateau-Cambrésis","59136","1","59136_0099_00001","1 Faubourg de Cambrai 59360 Le Cateau-Cambrésis","59360",0.71,"Faubourg de Cambrai",738356.9,7001004.89,59360,,,,,,"adresse géocodée ban à l'adresse","LE CATEAU-CAMBRÉSIS","59","32",184477,424297.1,"Électricité","Autres usages",29552,2023,33851,33851,"Gaz naturel","Chauffage",2441.5,2020,,,,,,
"2484T0236749R","2024-01-22","2024-01-21","2023-08-31","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1948-1974","M : Magasins de vente, centres commerciaux",0,824,100,,"STE RENAULT DISTRIBUTION 
15 Avenue du Cournoise - ZAC du Plan","Entraigues-sur-la-Sorgue","84043",,"84043_40795l","ZAC du Plan 84320 Entraigues-sur-la-Sorgue","84320",0.43,"ZAC du Plan",856412.65,6323205.78,84320,0,,"2309CPAAI - BI5480000000943",,,"adresse géocodée ban à l'adresse","ENTRAIGUES SUR LA SORGUES, France","84","93",,,,,,,,,,,,,,,,,,
"2476T0239236A","2024-01-22","2024-01-21","2024-01-11","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,1948,"5ème Catégorie","1948-1974","M : Magasins de vente, centres commerciaux",0,117.8,100,,"20 Rue Saint Lazare","Aumale","76035","20","76035_h5wcfg_00020","20 Rue Saint Lazare 76390 Aumale","76390",0.52,"Rue Saint Lazare",610242.2,6963872.97,76390,0,,"24/IMO/1617",,"Funerarium","adresse géocodée ban à l'adresse","AUMALE, France","76","28",,,,,,,,,,,,,,,,,,
"2474T0172145N","2024-01-16","2024-01-15","2024-01-14","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture",,,"E","B",318.9,8.9,,"5ème Catégorie","1989-2000","M : Magasins de vente, centres commerciaux",0,210,100,,"33 Rue de la Résistance","Annemasse","74012","33","74012_1070_00033","33 Rue de la Résistance 74100 Annemasse","74100",0.65,"Rue de la Résistance",951435.12,6571512.25,74100,0,,"DIA-MRM01-2401-009",,,"adresse géocodée ban à l'adresse","ANNEMASSE","74","84",32027.3,73662.9,"Électricité","périmètre de l'usage inconnu",4602.7,2024,,,,,,,,,,,,
"2444T0159299H","2024-01-16","2024-01-15","2023-12-20","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,47.2,100,,"11 Place de la Motte","Châteaubriant","44036","11","44036_1000_00011","11 Place de la Motte 44110 Châteaubriant","44110",0.57,"Place de la Motte",371953.41,6744376.12,44110,0,,"4402230913_p01",,"Etage RDC Gauche","adresse géocodée ban à l'adresse","CHATEAUBRIANT","44","52",,,,,,,,,,,,,,,,,,
"2445T0230841Y","2024-01-22","2024-01-21","2024-01-18","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"C","B",146,4.1,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,75.2,100,,"36 RUE DU FAUBOURG ST JEAN","Orléans","45234","36","45234_6045_00036","36 Rue du Faubourg Saint-Jean 45000 Orléans","45000",0.78,"Rue du Faubourg Saint-Jean",618891.38,6756800.89,45000,0,,"24/CDI/1346",,"RDC","adresse géocodée ban à l'adresse","ORLEANS, France","45","24",5248.3,12071.2,"Électricité","périmètre de l'usage inconnu",1732,2023,,,,,,,,,,,,
"2426T0183399N","2024-01-17","2024-01-16","2024-01-15","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1948-1974","M : Magasins de vente, centres commerciaux",0,85.5,100,,"Parc d'activités du Geai
99, Avenue de Lyon","Bourg-lès-Valence","26058","99","26058_0650_00099","99 Avenue de Lyon 26500 Bourg-lès-Valence","26500",0.67,"Avenue de Lyon",849144.21,6429904.92,26500,0,,"SER/24/IMO/15070/FER_p02",,"Rez de chaussée","adresse géocodée ban à l'adresse","BOURG LES VALENCE","26","84",,,,,,,,,,,,,,,,,,
"2475T0231010P","2024-01-22","2024-01-21","2023-12-11","DPE 2006 tertiaire et ERP","2375T4500523P","2034-01-20",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"D","B",227.8,6.3,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",5,30,100,,"43 RUE D'AVRON","Paris","75120","43","75120_0610_00043","43 Rue d'Avron 75020 Paris","75020",0.81,"Rue d'Avron",656089.68,6861493.62,75020,0,,"1266_2023_1211",,"Etage RDC","adresse géocodée ban à l'adresse","PARIS 20","75","11",3270,7521,"Électricité","périmètre de l'usage inconnu",9324.2,2023,,,,,,,,,,,,
"2413T0158016T","2024-01-15","2024-01-15","2024-01-09","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"C","A",95,2.6,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,61.6,100,,"23 Rue de l'eveche","Marseille","13202","23","13202_3292_00023","23 Rue de l'eveche 13002 Marseille","13002",0.67,"Rue de l'eveche",892073.33,6247235.84,13002,0,,"24/IMO/0084",,"RDC","adresse géocodée ban à l'adresse","MARSEILLE 02","13","93",2800,6440,"Électricité","périmètre de l'usage inconnu",812,2023,,,,,,,,,,,,
"2469T0179414X","2024-01-17","2024-01-16","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"G","C",869.5,24.2,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",1,170,100,,"18 Cours Charlemagne","Lyon","69382","18","69382_1490_00018","18 Cours Charlemagne 69002 Lyon","69002",0.68,"Cours Charlemagne",841825.76,6518023.72,69002,0,,"339049",,"Etage RDC","adresse géocodée ban à l'adresse","Lyon","69","84",70693,162593.9,"Électricité","périmètre de l'usage inconnu",17250,2024,,,,,,,,,,,,
"2410T0228233H","2024-01-22","2024-01-21","2024-01-17","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture",,,"E","B",334.5,9.3,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,1452,100,,"ZAC DE L'AIR DES MOISSONS 
N°GAGI 517","Saint-Parres-aux-Tertres","10357",,"10357_2fgq3g","Aire des Moissons 10410 Saint-Parres-aux-Tertres","10410",0.49,"Aire des Moissons",783793.69,6800050.89,10410,0,,"2024-01-157",,,"adresse géocodée ban à l'adresse","ST PARRES AUX TERTRES","10","44",232291,534269.3,"Électricité","périmètre de l'usage inconnu",67381,2023,,,,,,,,,,,,
"2469T0212258D","2024-01-19","2024-01-18","2024-01-17","DPE 2006 tertiaire et ERP",,"2034-01-17",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,38.6,100,,"23 RUE DU 3 SEPTEMBRE 1944","Anse","69009","23","69009_0195_00023","23 Rue du 3 Septembre 1944 69480 Anse","69480",0.58,"Rue du 3 Septembre 1944",833137.32,6538760.63,69480,0,,"24/IMO/3705",,"Etage RDC","adresse géocodée ban à l'adresse","ANSE","69","84",,,,,,,,,,,,,,,,,,
"2481T0226168P","2024-01-22","2024-01-21","2024-01-18","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","2013-2021","M : Magasins de vente, centres commerciaux",1,93.1,100,,"16 RUE DE GRAMENTES","Mazamet","81163","16","81163_1255_00016","16 Rue de Gramentès 81200 Mazamet","81200",0.54,"Rue de Gramentès",650304.48,6266967.45,81200,0,,"2024-01 0045",,,"adresse géocodée ban à l'adresse","MAZAMET","81","76",,,,,,,,,,,,,,,,,,
"2477T0237906X","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,200.8,100,,"91 RUE PAUL VAILLANT COUTURIER
BATIMENT INDUSTRIEL","Mitry-Mory","77294","91","77294_1070_00091","91 Rue Paul Vaillant Couturier 77290 Mitry-Mory","77290",0.69,"Rue Paul Vaillant Couturier",671437.62,6875940.15,77290,0,,"24-01-22 18388",,,"adresse géocodée ban à l'adresse","MITRY MORY","77","11",,,,,,,,,,,,,,,,,,
"2469T0205431O","2024-01-18","2024-01-17","2024-01-17","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire facture",,,"D","B",174.5,4.9,,"5ème Catégorie","1989-2000","M : Magasins de vente, centres commerciaux",0,159,100,,"21 RUE GABRIEL PERI","Villeurbanne","69266","21","69266_1757_00021","21 Rue Gabriel Péri 69100 Villeurbanne","69100",0.72,"Rue Gabriel Péri",844815.65,6520744.29,69100,0,,"24_69100MBA3854",,,"adresse géocodée ban à l'adresse","VILLEURBANNE","69","84",13271,30523.3,"Électricité","périmètre de l'usage inconnu",4402,2023,,,,,,,,,,,,
"2372T4539489E","2024-01-22","2023-11-20","2023-11-20","DPE 2006 tertiaire et ERP",,"2033-11-19",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"G","G",117,3,1948,,"avant 1948","M : Magasins de vente, centres commerciaux",7,85.5,94,,"10 bis place des Jacobins","Le Mans","72181","10bis","72181_2785_00010_bis","10bis place des Jacobins 72000 Le Mans","72000",0.82,"place des Jacobins",491144.01,6771167.95,72000,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","LE MANS","72","52",4768,10967,"Électricité","Eau Chaude sanitaire",846,2024,4768,10967,"Électricité","Eau Chaude sanitaire",846,2023,4768,10967,"Électricité","Eau Chaude sanitaire",846,2022
"2473T0231093S","2024-01-22","2024-01-21","2024-01-08","DPE 2006 tertiaire et ERP","2473T0231032J","2034-01-20",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,27.1,100,,"7 place du vieux pont","MoÃ tiers","73181","7","73181_1540_00007","7 Place du vieux pont 73600 MoÃ tiers","73600",0.46,"Place du vieux pont",975863.4,6493229.29,73600,0,,"41348",,"rez-de-chaussée","adresse géocodée ban à l'adresse","MOÛTIERS TARENTAISE","73","84",,,,,,,,,,,,,,,,,,
"2489T0191084N","2024-01-17","2024-01-16","2023-10-24","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1989-2000","M : Magasins de vente, centres commerciaux",0,1000,100,,"16 RUE DES FOURNEAUX
ZC Les Clairions","Auxerre","89024","16","89024_2805_00016","16 Rue des Fourneaux 89000 Auxerre","89000",0.62,"Rue des Fourneaux",742788.89,6746140.84,89000,0,,"202310-25327",,,"adresse géocodée ban à l'adresse","AUXERRE","89","27",,,,,,,,,,,,,,,,,,
"2422T0235292G","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,80,100,,"14 rue de la mairie","Ploufragan","22215","14","22215_1040_00014","14 Rue de la Mairie 22440 Ploufragan","22440",0.55,"Rue de la Mairie",272283.46,6836716.37,22440,0,,"SARL_BATIK_1636_01",,,"adresse géocodée ban à l'adresse","PLOUFRAGAN","22","53",,,,,,,,,,,,,,,,,,
"2457T0187740R","2024-01-17","2024-01-16","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,1993,"5ème Catégorie","1989-2000","M : Magasins de vente, centres commerciaux",0,189.5,100,,"90 AVENUE DE THIONVILLE","Metz","57463",,"57463_4570","Avenue de Nancy 57000 Metz","57000",0.71,"Avenue de Nancy",931069.85,6894369.89,57000,0,,"DOSS01.24-6774",,"Etage : Rdc","adresse géocodée ban à l'adresse","METZ","57","44",,,,,,,,,,,,,,,,,,
"2433T0227079U","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,414.9,100,,"79 COURS EDOUARD VAILLAN","Bordeaux","33063","79","33063_3090_00079","79 Cours Edouard Vaillant 33300 Bordeaux","33300",0.77,"Cours Edouard Vaillant",418948.68,6424391.41,33000,0,,"24_00102_INDIVISION LOPEZ",,"LOCAL COMMERCIAL","adresse géocodée ban à l'adresse","BORDEAUX","33","75",,,,,,,,,,,,,,,,,,
"2406T0224870U","2024-01-21","2024-01-20","2024-01-14","DPE 2006 tertiaire et ERP",,"2034-01-19",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"G","D",1275.5,35.5,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,34.2,100,,"85 Rue Georges Clemenceau","Cannes","06029","85","06029_1480_00085","85 Rue Georges Clemenceau 06400 Cannes","06400",0.74,"Rue Georges Clemenceau",1023875.7,6280537.73,6400,0,,"24/01/JPN/1004",,"Etage RDC","adresse géocodée ban à l'adresse","CANNES","06","93",20850.3,47955.8,"Électricité","périmètre de l'usage inconnu",3989.7,2023,,,,,,,,,,,,
"2417T0226720J","2024-01-22","2024-01-21","2024-01-17","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,103.8,100,,"127 rue de la République,","Rochefort","17299","127","17299_1640_00127","127 Rue de la Republique 17300 Rochefort","17300",0.7,"Rue de la Republique",393180.09,6544981.23,17300,0,,"24-01-SCI-ACN-5473",,"Local commercial RDC (copropriété)","adresse géocodée ban à l'adresse","ROCHEFORT","17","75",,,,,,,,,,,,,,,,,,
"2415T0221241O","2024-01-20","2024-01-19","2024-01-17","DPE 2006 tertiaire et ERP",,"2034-01-18",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1978-1982","M : Magasins de vente, centres commerciaux",0,98,100,,"7 Allée Georges Pompidou","Aurillac","15014","7","15014_1106_00007","7 Allée Georges Pompidou 15000 Aurillac","15000",0.59,"Allée Georges Pompidou",656292.22,6423963.92,15000,0,,"23-01-PMK-099",,,"adresse géocodée ban à l'adresse","AURILLAC, France","15","84",,,,,,,,,,,,,,,,,,
"2467T0159198H","2024-01-16","2024-01-15","2023-12-26","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"D","D",232.9,45,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,149.6,100,,"10 PLACE KLEBER","Strasbourg","67482","10","67482_3705_00010","10 Place Kléber 67000 Strasbourg","67000",0.72,"Place Kléber",1049789.24,6841926.92,67000,0,,"2015011003",,"Local Commercial","adresse géocodée ban à l'adresse","STRASBOURG","67","44",31857.3,31857.3,"Gaz naturel","périmètre de l'usage inconnu",13820.9,2022,2816,6476.8,"Électricité","périmètre de l'usage inconnu",1292,2023,,,,,,
"2454T0162133R","2024-01-16","2024-01-15","2023-12-14","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"F","C",453.9,12.6,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,39.5,100,,"23, rue Mon Désert
Local commercial rez de chaussée","Nancy","54395","23","54395_3720_00023","23 Rue de Mon Désert 54000 Nancy","54000",0.79,"Rue de Mon Désert",933862.44,6847381.16,54000,0,,"231248",,,"adresse géocodée ban à l'adresse","NANCY","54","44",8575,19722.5,"Électricité","périmètre de l'usage inconnu",2487,2023,,,,,,,,,,,,
"2468T0237710A","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","2006-2012","M : Magasins de vente, centres commerciaux",0,812.5,100,,"169 rue de Richwiller","Kingersheim","68166","169","68166_0540_00169","169 Rue de Richwiller 68260 Kingersheim","68260",0.68,"Rue de Richwiller",1022724.18,6751939.15,68260,0,,"2501/00420",,,"adresse géocodée ban à l'adresse","KINGERSHEIM","68","44",,,,,,,,,,,,,,,,,,
"2406T0224865P","2024-01-21","2024-01-20","2024-01-14","DPE 2006 tertiaire et ERP",,"2034-01-19",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"G","D",1300.6,36.2,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,33.5,100,,"85 Rue Georges Clemenceau","Cannes","06029","85","06029_1480_00085","85 Rue Georges Clemenceau 06400 Cannes","06400",0.74,"Rue Georges Clemenceau",1023875.7,6280537.73,6400,0,,"24/01/JPN/1004",,"Etage RDC","adresse géocodée ban à l'adresse","CANNES","06","93",20850.3,47955.8,"Électricité","périmètre de l'usage inconnu",3989.7,2023,,,,,,,,,,,,
"2459T0232178X","2024-01-22","2024-01-21","2023-11-27","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture",,,"D","B",215.8,6,,"5ème Catégorie","2001-2005","M : Magasins de vente, centres commerciaux",0,3050,100,,"Heron Parc
Cultura","Villeneuve-d'Ascq","59009",,"59009_5850","Rue Papin 59650 Villeneuve-d'Ascq","59650",0.68,"Rue Papin",709107.92,7061337.94,59650,0,,"17245.DVPHERON.28.11.2023_p01",,,"adresse géocodée ban à l'adresse","VILLENEUVE D ASCQ","59","32",314831,724111.3,"Électricité","périmètre de l'usage inconnu",91323,2024,,,,,,,,,,,,
"2449T0205236H","2024-01-18","2024-01-17","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"E","B",280.1,7.8,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,48,100,,"27 rue du Commerce","Maulévrier","49192","27","49192_0200_00027","27 Rue du commerce 49360 Maulévrier","49360",0.51,"Rue du commerce",415559.44,6663205.35,49360,0,,"2024.01.17.2373.AGATHE.JCA",,,"adresse géocodée ban à l'adresse","MAULÉVRIER","49","52",6430,14789,"Électricité","périmètre de l'usage inconnu",1865,2024,,,,,,,,,,,,
